,Ticker,Last_Close
0,VTBR,71.67
1,GAZP,99.07
2,SBER,299.18
3,LKOH,4365.0
4,SPBE,133.4
5,NVTK,932.1
6,T,265.58
7,X5,2202.5
8,YDEX,3596.0
9,OZON,3449.0
10,AFLT,37.95
11,GMKN,126.8
12,SFIN,546.0
13,NLMK,59.44
14,MTLR,39.79
15,TATN,495.5
16,PLZL,1975.0
17,ROSN,319.5
18,MGNT,1791.0
19,MOEX,163.85
20,PIKK,541.8
21,TRNFP,1293.4
22,MAGN,17.86
23,AFKS,12.054
24,SMLT,281.0
25,RUAL,28.88
26,CHMF,569.4
27,SNGS,16.03
28,SVCB,10.84
29,MTSS,218.1
30,RTKM,42.13
31,ALRS,20.54
32,CNRU,508.8
33,VKCO,195.8
34,BELU,250.4
35,FLOT,75.37
36,SVAV,282.5
37,HEAD,2577.0
38,IRAO,2.588
39,RENI,78.9
40,IVAT,54.15
41,ASTR,169.55
42,SIBN,436.9
43,UPRO,1.014
44,WUSH,46.15
45,PHOR,5152.0
46,HNFG,277.0
47,MDMG,1260.3
48,ENPG,315.7
49,BSPB,252.0
50,RNFT,73.05
51,LEAS,662.5
52,DOMRF,2202.0
53,POSI,771.2
54,RAGR,77.74
55,FESH,56.1
56,SOFL,42.9
57,EUTR,59.85
58,UGLD,0.5793
59,FEES,0.0454
60,CBOM,8.528
61,GEMC,651.1
62,UNAC,0.247
63,SGZH,0.581
64,FIXR,0.41
65,LENT,1805.5
66,IRKT,15.58
67,OZPH,39.87
68,HYDR,0.3032
69,MBNK,1031.5
70,OGKB,0.1949
71,TRMK,58.22
72,NMTP,8.265
73,UWGN,16.2
74,RASP,104.8
75,SELG,34.22
76,VSEH,62.04
77,DATA,74.72
78,AQUA,308.9
79,MRKC,0.5562
80,NKHP,342.0
81,MVID,57.25
82,PMSB,392.5
83,VSMO,20940.0
84,GTRK,51.1
85,LSNG,10.88
86,KMAZ,42.7
87,ETLN,22.76
88,EELT,7.04
89,LSRG,571.0
90,MSRS,1.6245
91,MRKV,0.1981
92,DIAS,1021.0
93,TGKN,0.00273
94,MSNG,1.8475
95,TGKA,0.003996
96,PRMD,353.85
97,GCHE,2908.0
98,ABIO,35.72
99,AKRN,15828.0
100,VRSB,288.0
101,ZAYM,136.6
102,UNKL,2900.0
103,MRKU,0.5288
104,MRKP,0.5709
105,BANE,1038.5
106,DELI,41.2
107,GLRX,37.16
108,RBCM,6.08
109,SVET,8.82
110,TUZA,86.2
111,KAZT,274.4
112,MGKL,2.4295
113,APRI,16.44
114,MRKZ,0.1183
115,MRSB,0.926
116,ROLO,0.231
117,ELFV,0.35
118,APTK,4.482
119,GECO,11.78
120,ABRD,110.8
121,KLSB,17.24
122,CARM,0.81
123,MRKS,0.3615
124,KBSB,715.0
125,CHMK,3105.0
126,ELMT,0.0964
127,RTSB,2.4
128,RKKE,10290.0
129,MRKY,0.0635
130,TTLK,0.4995
131,TNSE,2760.0
132,KZOS,53.7
133,LIFE,1.775
134,MISB,35.4
135,MSTT,64.25
136,NNSB,2890.0
137,KROT,843.0
138,NSVZ,234.0
139,USBN,0.1454
140,DZRD,1105.0
141,STSB,5.085
142,MGTS,1160.0
143,RUSI,48.6
144,GAZA,375.0
145,KLVZ,1.774
146,RZSB,31.28
147,KMEZ,708.0
148,VGSB,11.35
149,LVHK,16.2
150,BLNG,7.03
151,DIOD,6.74
152,PRFN,2.398
153,YAKG,28.05
154,KRSB,19.4
155,DVEC,1.276
156,NAUK,468.5
157,ZILL,4440.0
158,GEMA,110.1
159,YRSB,584.0
160,NFAZ,159.0
161,TGKB,0.0038
162,MFGS,242.0
163,ASSB,2.31
164,NKNC,48.1
165,RGSS,0.1704
166,LPSB,45.5
167,RTGZ,31400.0
168,SLEN,2.915
169,CHKZ,14700.0
170,NKSH,29.25
171,VLHZ,102.6
172,AVAN,544.0
173,OKEY,41.46
174,SARE,0.714
175,URKZ,204.2
176,ARSA,6.09
177,BRZL,940.0
178,VJGZ,1840.0
179,JNOS,19.18
180,MAGE,1.87
181,KUZB,0.0281
182,KRKN,10550.0
183,UTAR,8.01
184,KOGK,193.8
185,SAGO,2.165
186,TASB,1.306
187,YKEN,0.276
188,IGST,3860.0
189,ROST,67.6
190,PRMB,19000.0
191,KCHE,0.261
192,MRKK,14.6
193,RDRB,100.2
194,WTCM,12.28
195,CNTL,8.1
196,TORS,0.594
197,VSYD,6650.0
198,LMBZ,475.0
199,ZVEZ,4.17
200,UKUZ,606.0
201,PAZA,8020.0
202,KFBA,1705.0
203,GAZC,
